This is test file #1.
This is test file #1.
This is test file #1.
This is test file #1.
This is test file #1.
This is test file #1.
This is test file #1.
This is test file #1.

It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.
It is very regular and is used to check to see if word wrap works.

Does it work with a one line paragraph?

$Id: input1.dat,v 1.1 2010-12-13 17:24:57-08 - - $

